postcode,state,statistic_area
3442,VIC,Rest of VIC
3444,VIC,Rest of VIC
3446,VIC,Rest of VIC
3447,VIC,Rest of VIC
3448,VIC,Rest of VIC
3450,VIC,Rest of VIC
3451,VIC,Rest of VIC
3453,VIC,Rest of VIC
3458,VIC,Rest of VIC
3460,VIC,Rest of VIC
3461,VIC,Rest of VIC
3462,VIC,Rest of VIC
3463,VIC,Rest of VIC
3464,VIC,Rest of VIC
3465,VIC,Rest of VIC
3467,VIC,Rest of VIC
3468,VIC,Rest of VIC
3469,VIC,Rest of VIC
3472,VIC,Rest of VIC
3475,VIC,Rest of VIC
3477,VIC,Rest of VIC
3478,VIC,Rest of VIC
3480,VIC,Rest of VIC
3482,VIC,Rest of VIC
3483,VIC,Rest of VIC
3485,VIC,Rest of VIC
3487,VIC,Rest of VIC
3488,VIC,Rest of VIC
3489,VIC,Rest of VIC
3490,VIC,Rest of VIC
3491,VIC,Rest of VIC
3494,VIC,Rest of VIC
3496,VIC,Rest of VIC
3498,VIC,Rest of VIC
3500,VIC,Rest of VIC
3501,VIC,Rest of VIC
3505,VIC,Rest of VIC
3506,VIC,Rest of VIC
3507,VIC,Rest of VIC
3509,VIC,Rest of VIC
3512,VIC,Rest of VIC
3515,VIC,Rest of VIC
3516,VIC,Rest of VIC
3517,VIC,Rest of VIC
3518,VIC,Rest of VIC
3520,VIC,Rest of VIC
3521,VIC,Rest of VIC
3522,VIC,Rest of VIC
3523,VIC,Rest of VIC
3525,VIC,Rest of VIC
3527,VIC,Rest of VIC
3529,VIC,Rest of VIC
3530,VIC,Rest of VIC
3531,VIC,Rest of VIC
3533,VIC,Rest of VIC
3537,VIC,Rest of VIC
3540,VIC,Rest of VIC
3542,VIC,Rest of VIC
3544,VIC,Rest of VIC
3546,VIC,Rest of VIC
3549,VIC,Rest of VIC
3550,VIC,Rest of VIC
3551,VIC,Rest of VIC
3555,VIC,Rest of VIC
3556,VIC,Rest of VIC
3557,VIC,Rest of VIC
3558,VIC,Rest of VIC
3559,VIC,Rest of VIC
3561,VIC,Rest of VIC
3562,VIC,Rest of VIC
3563,VIC,Rest of VIC
3564,VIC,Rest of VIC
3565,VIC,Rest of VIC
3566,VIC,Rest of VIC
3567,VIC,Rest of VIC
3568,VIC,Rest of VIC
3570,VIC,Rest of VIC
3571,VIC,Rest of VIC
3572,VIC,Rest of VIC
3573,VIC,Rest of VIC
3575,VIC,Rest of VIC
3576,VIC,Rest of VIC
3579,VIC,Rest of VIC
3580,VIC,Rest of VIC
3581,VIC,Rest of VIC
3583,VIC,Rest of VIC
3584,VIC,Rest of VIC
3585,VIC,Rest of VIC
3586,VIC,Rest of VIC
3588,VIC,Rest of VIC
3589,VIC,Rest of VIC
3590,VIC,Rest of VIC
3591,VIC,Rest of VIC
3594,VIC,Rest of VIC
3595,VIC,Rest of VIC
3596,VIC,Rest of VIC
3597,VIC,Rest of VIC
3599,VIC,Rest of VIC
3607,VIC,Rest of VIC
3608,VIC,Rest of VIC
3610,VIC,Rest of VIC
3612,VIC,Rest of VIC
3614,VIC,Rest of VIC
3616,VIC,Rest of VIC
3617,VIC,Rest of VIC
3618,VIC,Rest of VIC
3620,VIC,Rest of VIC
3621,VIC,Rest of VIC
3622,VIC,Rest of VIC
3623,VIC,Rest of VIC
3624,VIC,Rest of VIC
3629,VIC,Rest of VIC
3630,VIC,Rest of VIC
3631,VIC,Rest of VIC
3633,VIC,Rest of VIC
3634,VIC,Rest of VIC
3635,VIC,Rest of VIC
3636,VIC,Rest of VIC
3637,VIC,Rest of VIC
3638,VIC,Rest of VIC
3639,VIC,Rest of VIC
3640,VIC,Rest of VIC
3641,VIC,Rest of VIC
3644,NSW,Rest of NSW
3644,VIC,Rest of VIC
3646,VIC,Rest of VIC
3647,VIC,Rest of VIC
3649,VIC,Rest of VIC
3658,VIC,Rest of VIC
3659,VIC,Rest of VIC
3660,VIC,Rest of VIC
3662,VIC,Rest of VIC
3663,VIC,Rest of VIC
3664,VIC,Rest of VIC
3665,VIC,Rest of VIC
3666,VIC,Rest of VIC
3669,VIC,Rest of VIC
3670,VIC,Rest of VIC
3672,VIC,Rest of VIC
3673,VIC,Rest of VIC
3675,VIC,Rest of VIC
3677,VIC,Rest of VIC
3678,VIC,Rest of VIC
3682,VIC,Rest of VIC
3683,VIC,Rest of VIC
3685,VIC,Rest of VIC
3687,VIC,Rest of VIC
3688,VIC,Rest of VIC
3690,VIC,Rest of VIC
3691,NSW,Rest of NSW
3691,VIC,Rest of VIC
3695,VIC,Rest of VIC
3697,VIC,Rest of VIC
3698,VIC,Rest of VIC
3699,VIC,Rest of VIC
3700,VIC,Rest of VIC
3701,VIC,Rest of VIC
3704,VIC,Rest of VIC
3705,VIC,Rest of VIC
3707,NSW,Rest of NSW
3707,VIC,Rest of VIC
3708,VIC,Rest of VIC
3709,VIC,Rest of VIC
3711,VIC,Rest of VIC
3712,VIC,Rest of VIC
3713,VIC,Rest of VIC
3714,VIC,Rest of VIC
3715,VIC,Rest of VIC
3717,VIC,Rest of VIC
3718,VIC,Rest of VIC
3719,VIC,Rest of VIC
3720,VIC,Rest of VIC
3722,VIC,Rest of VIC
3723,VIC,Rest of VIC
3725,VIC,Rest of VIC
3726,VIC,Rest of VIC
3727,VIC,Rest of VIC
3728,VIC,Rest of VIC
3730,VIC,Rest of VIC
3732,VIC,Rest of VIC
3733,VIC,Rest of VIC
3735,VIC,Rest of VIC
3737,VIC,Rest of VIC
3738,VIC,Rest of VIC
3739,VIC,Rest of VIC
3740,VIC,Rest of VIC
3741,VIC,Rest of VIC
3744,VIC,Rest of VIC
3746,VIC,Rest of VIC
3747,VIC,Rest of VIC
3749,VIC,Rest of VIC
3750,VIC,Melbourne
3751,VIC,Melbourne
3752,VIC,Melbourne
3753,VIC,Melbourne
3754,VIC,Melbourne
3755,VIC,Melbourne
3756,VIC,Melbourne
3757,VIC,Melbourne
3758,VIC,Melbourne
3759,VIC,Melbourne
3760,VIC,Melbourne
3761,VIC,Melbourne
3762,VIC,Melbourne
3763,VIC,Melbourne
3764,VIC,Rest of VIC
3765,VIC,Melbourne
3766,VIC,Melbourne
3767,VIC,Melbourne
3770,VIC,Melbourne
3775,VIC,Melbourne
3777,VIC,Melbourne
3778,VIC,Rest of VIC
3779,VIC,Rest of VIC
3781,VIC,Melbourne
3782,VIC,Melbourne
3783,VIC,Melbourne
3785,VIC,Melbourne
3786,VIC,Melbourne
3787,VIC,Melbourne
3788,VIC,Melbourne
3789,VIC,Melbourne
3791,VIC,Melbourne
3792,VIC,Melbourne
3793,VIC,Melbourne
3795,VIC,Melbourne
3796,VIC,Melbourne
3797,VIC,Melbourne
3799,VIC,Melbourne
3802,VIC,Melbourne
3803,VIC,Melbourne
3804,VIC,Melbourne
3805,VIC,Melbourne
3806,VIC,Melbourne
3807,VIC,Melbourne
3808,VIC,Melbourne
3809,VIC,Melbourne
3810,VIC,Melbourne
3812,VIC,Melbourne
3813,VIC,Melbourne
3814,VIC,Melbourne
3815,VIC,Melbourne
3816,VIC,Rest of VIC
3818,VIC,Rest of VIC
3820,VIC,Rest of VIC
3821,VIC,Rest of VIC
3822,VIC,Rest of VIC
3823,VIC,Rest of VIC
3824,VIC,Rest of VIC
3825,VIC,Rest of VIC
3831,VIC,Rest of VIC
3832,VIC,Rest of VIC
3833,VIC,Rest of VIC
3835,VIC,Rest of VIC
3840,VIC,Rest of VIC
3842,VIC,Rest of VIC
3844,VIC,Rest of VIC
3847,VIC,Rest of VIC
3850,VIC,Rest of VIC
3851,VIC,Rest of VIC
3852,VIC,Rest of VIC
3854,VIC,Rest of VIC
3856,VIC,Rest of VIC
3857,VIC,Rest of VIC
3858,VIC,Rest of VIC
3859,VIC,Rest of VIC
3860,VIC,Rest of VIC
3862,VIC,Rest of VIC
3864,VIC,Rest of VIC
3865,VIC,Rest of VIC
3869,VIC,Rest of VIC
3870,VIC,Rest of VIC
3871,VIC,Rest of VIC
3873,VIC,Rest of VIC
3874,VIC,Rest of VIC
3875,VIC,Rest of VIC
3878,VIC,Rest of VIC
3880,VIC,Rest of VIC
3882,VIC,Rest of VIC
3885,VIC,Rest of VIC
3886,VIC,Rest of VIC
3887,VIC,Rest of VIC
3888,VIC,Rest of VIC
3889,VIC,Rest of VIC
3890,VIC,Rest of VIC
3891,VIC,Rest of VIC
3892,VIC,Rest of VIC
3893,VIC,Rest of VIC
3895,VIC,Rest of VIC
3896,VIC,Rest of VIC
3898,VIC,Rest of VIC
3900,VIC,Rest of VIC
3902,VIC,Rest of VIC
3903,VIC,Rest of VIC
3904,VIC,Rest of VIC
3909,VIC,Rest of VIC
3910,VIC,Melbourne
3911,VIC,Melbourne
3912,VIC,Melbourne
3913,VIC,Melbourne
3915,VIC,Melbourne
3916,VIC,Melbourne
3918,VIC,Melbourne
3919,VIC,Melbourne
3920,VIC,Melbourne
3921,VIC,Rest of VIC
3922,VIC,Rest of VIC
3923,VIC,Rest of VIC
3925,VIC,Rest of VIC
3926,VIC,Melbourne
3927,VIC,Melbourne
3928,VIC,Melbourne
3929,VIC,Melbourne
3930,VIC,Melbourne
3931,VIC,Melbourne
3933,VIC,Melbourne
3934,VIC,Melbourne
3936,VIC,Melbourne
3937,VIC,Melbourne
3938,VIC,Melbourne
3939,VIC,Melbourne
3940,VIC,Melbourne
3941,VIC,Melbourne
3942,VIC,Melbourne
3943,VIC,Melbourne
3944,VIC,Melbourne
3945,VIC,Rest of VIC
3950,VIC,Rest of VIC
3951,VIC,Rest of VIC
3953,VIC,Rest of VIC
3954,VIC,Rest of VIC
3956,VIC,Rest of VIC
3957,VIC,Rest of VIC
3958,VIC,Rest of VIC
3959,VIC,Rest of VIC
3960,VIC,Rest of VIC
3962,VIC,Rest of VIC
3964,VIC,Rest of VIC
3965,VIC,Rest of VIC
3966,VIC,Rest of VIC
3967,VIC,Rest of VIC
3971,VIC,Rest of VIC
3975,VIC,Melbourne
3976,VIC,Melbourne
3977,VIC,Melbourne
3978,VIC,Melbourne
3979,VIC,Rest of VIC
3980,VIC,Melbourne
3981,VIC,Rest of VIC
3984,VIC,Rest of VIC
3987,VIC,Rest of VIC
3988,VIC,Rest of VIC
3990,VIC,Rest of VIC
3991,VIC,Rest of VIC
3992,VIC,Rest of VIC
3995,VIC,Rest of VIC
3996,VIC,Rest of VIC
4000,QLD,Brisbane
4005,QLD,Brisbane
4006,QLD,Brisbane
4007,QLD,Brisbane
4008,QLD,Brisbane
4009,QLD,Brisbane
4010,QLD,Brisbane
4011,QLD,Brisbane
4012,QLD,Brisbane
4013,QLD,Brisbane
4014,QLD,Brisbane
4017,QLD,Brisbane
4018,QLD,Brisbane
4019,QLD,Brisbane
4020,QLD,Brisbane
4021,QLD,Brisbane
4022,QLD,Brisbane
4025,QLD,Brisbane
4030,QLD,Brisbane
4031,QLD,Brisbane
4032,QLD,Brisbane
4034,QLD,Brisbane
4035,QLD,Brisbane
4036,QLD,Brisbane
4037,QLD,Brisbane
4051,QLD,Brisbane
4053,QLD,Brisbane
4054,QLD,Brisbane
4055,QLD,Brisbane
4059,QLD,Brisbane
4060,QLD,Brisbane
4061,QLD,Brisbane
4064,QLD,Brisbane
4065,QLD,Brisbane
4066,QLD,Brisbane
4067,QLD,Brisbane
4068,QLD,Brisbane
4069,QLD,Brisbane
4070,QLD,Brisbane
4073,QLD,Brisbane
4074,QLD,Brisbane
4075,QLD,Brisbane
4076,QLD,Brisbane
4077,QLD,Brisbane
4078,QLD,Brisbane
4101,QLD,Brisbane
4102,QLD,Brisbane
4103,QLD,Brisbane
4104,QLD,Brisbane
4105,QLD,Brisbane
4106,QLD,Brisbane
4107,QLD,Brisbane
4108,QLD,Brisbane
4109,QLD,Brisbane
4110,QLD,Brisbane
4111,QLD,Brisbane
4112,QLD,Brisbane
4113,QLD,Brisbane
4114,QLD,Brisbane
4115,QLD,Brisbane
4116,QLD,Brisbane
4117,QLD,Brisbane
4118,QLD,Brisbane
4119,QLD,Brisbane
4120,QLD,Brisbane
4121,QLD,Brisbane
4122,QLD,Brisbane
4123,QLD,Brisbane
4124,QLD,Brisbane
4125,QLD,Brisbane
4127,QLD,Brisbane
4128,QLD,Brisbane
4129,QLD,Brisbane
4130,QLD,Brisbane
4131,QLD,Brisbane
4132,QLD,Brisbane
4133,QLD,Brisbane
4151,QLD,Brisbane
4152,QLD,Brisbane
4153,QLD,Brisbane
4154,QLD,Brisbane
4155,QLD,Brisbane
4156,QLD,Brisbane
4157,QLD,Brisbane
4158,QLD,Brisbane
4159,QLD,Brisbane
4160,QLD,Brisbane
4161,QLD,Brisbane
4163,QLD,Brisbane
4164,QLD,Brisbane
4165,QLD,Brisbane
4169,QLD,Brisbane
4170,QLD,Brisbane
4171,QLD,Brisbane
4172,QLD,Brisbane
4173,QLD,Brisbane
4174,QLD,Brisbane
4178,QLD,Brisbane
4179,QLD,Brisbane
4183,QLD,Brisbane
4184,QLD,Brisbane
4205,QLD,Brisbane
4207,QLD,Brisbane
4208,QLD,Rest of QLD
4209,QLD,Rest of QLD
4210,QLD,Rest of QLD
4211,QLD,Rest of QLD
4212,QLD,Rest of QLD
4213,QLD,Rest of QLD
4214,QLD,Rest of QLD
4215,QLD,Rest of QLD
4216,QLD,Rest of QLD
4217,QLD,Rest of QLD
4218,QLD,Rest of QLD
4220,QLD,Rest of QLD
4221,QLD,Rest of QLD
4223,QLD,Rest of QLD
4224,QLD,Rest of QLD
4225,QLD,Rest of QLD
4226,QLD,Rest of QLD
4227,QLD,Rest of QLD
4228,QLD,Rest of QLD
4270,QLD,Brisbane
4272,QLD,Rest of QLD
4275,QLD,Rest of QLD
4280,QLD,Brisbane
4285,QLD,Brisbane
4287,QLD,Brisbane
4300,QLD,Brisbane
4301,QLD,Brisbane
4303,QLD,Brisbane
4304,QLD,Brisbane
4305,QLD,Brisbane
4306,QLD,Brisbane
4307,QLD,Brisbane
4309,QLD,Brisbane
4310,QLD,Brisbane
4311,QLD,Brisbane
4312,QLD,Brisbane
4313,QLD,Brisbane
4340,QLD,Brisbane
4341,QLD,Brisbane
4342,QLD,Brisbane
4343,QLD,Rest of QLD
4344,QLD,Rest of QLD
4345,QLD,Rest of QLD
4346,QLD,Brisbane
4347,QLD,Rest of QLD
4350,QLD,Rest of QLD
4352,QLD,Rest of QLD
4353,QLD,Rest of QLD
4354,QLD,Rest of QLD
4355,QLD,Rest of QLD
4356,QLD,Rest of QLD
4357,QLD,Rest of QLD
4358,QLD,Rest of QLD
4359,QLD,Rest of QLD
4360,QLD,Rest of QLD
4361,QLD,Rest of QLD
4362,QLD,Rest of QLD
4363,QLD,Rest of QLD
4364,QLD,Rest of QLD
4365,QLD,Rest of QLD
4370,QLD,Rest of QLD
4371,QLD,Rest of QLD
4372,QLD,Rest of QLD
4373,QLD,Rest of QLD
4374,QLD,Rest of QLD
4375,NSW,Rest of NSW
4375,QLD,Rest of QLD
4376,QLD,Rest of QLD
4377,NSW,Rest of NSW
4377,QLD,Rest of QLD
4378,QLD,Rest of QLD
4380,NSW,Rest of NSW
4380,QLD,Rest of QLD
4381,QLD,Rest of QLD
4382,QLD,Rest of QLD
4383,NSW,Rest of NSW
4383,QLD,Rest of QLD
4384,QLD,Rest of QLD
4385,NSW,Rest of NSW
4385,QLD,Rest of QLD
4387,QLD,Rest of QLD
4388,QLD,Rest of QLD
4390,QLD,Rest of QLD
4400,QLD,Rest of QLD
4401,QLD,Rest of QLD
4402,QLD,Rest of QLD
4403,QLD,Rest of QLD
4404,QLD,Rest of QLD
4405,QLD,Rest of QLD
4406,QLD,Rest of QLD
4407,QLD,Rest of QLD
4408,QLD,Rest of QLD
4410,QLD,Rest of QLD
4411,QLD,Rest of QLD
4412,QLD,Rest of QLD
4413,QLD,Rest of QLD
4415,QLD,Rest of QLD
4416,QLD,Rest of QLD
4417,QLD,Rest of QLD
4418,QLD,Rest of QLD
4419,QLD,Rest of QLD
4420,QLD,Rest of QLD
4421,QLD,Rest of QLD
4422,QLD,Rest of QLD
4423,QLD,Rest of QLD
4424,QLD,Rest of QLD
4425,QLD,Rest of QLD
4426,QLD,Rest of QLD
4427,QLD,Rest of QLD
4428,QLD,Rest of QLD
4454,QLD,Rest of QLD
4455,QLD,Rest of QLD
4461,QLD,Rest of QLD
4462,QLD,Rest of QLD
4465,QLD,Rest of QLD
4467,QLD,Rest of QLD
4468,QLD,Rest of QLD
4470,QLD,Rest of QLD
4472,QLD,Rest of QLD
4474,QLD,Rest of QLD
4477,QLD,Rest of QLD
4478,QLD,Rest of QLD
4479,QLD,Rest of QLD
4480,QLD,Rest of QLD
4481,QLD,Rest of QLD
4482,QLD,Rest of QLD
4486,QLD,Rest of QLD
4487,QLD,Rest of QLD
4488,QLD,Rest of QLD
4489,QLD,Rest of QLD
4490,QLD,Rest of QLD
4491,QLD,Rest of QLD
4492,QLD,Rest of QLD
4493,QLD,Rest of QLD
4494,QLD,Rest of QLD
4496,QLD,Rest of QLD
4497,QLD,Rest of QLD
4498,QLD,Rest of QLD
4500,QLD,Brisbane
4501,QLD,Brisbane
4502,QLD,Brisbane
4503,QLD,Brisbane
4504,QLD,Brisbane
4505,QLD,Brisbane
4506,QLD,Brisbane
4507,QLD,Brisbane
4508,QLD,Brisbane
4509,QLD,Brisbane
4510,QLD,Brisbane
4511,QLD,Brisbane
4512,QLD,Brisbane
4514,QLD,Brisbane
4515,QLD,Brisbane
4516,QLD,Brisbane
4517,QLD,Rest of QLD
4518,QLD,Rest of QLD
4519,QLD,Rest of QLD
4520,QLD,Brisbane
4521,QLD,Brisbane
4550,QLD,Rest of QLD
4551,QLD,Rest of QLD
4552,QLD,Brisbane
4553,QLD,Rest of QLD
4554,QLD,Rest of QLD
4555,QLD,Rest of QLD
4556,QLD,Rest of QLD
4557,QLD,Rest of QLD
4558,QLD,Rest of QLD
4559,QLD,Rest of QLD
4560,QLD,Rest of QLD
4561,QLD,Rest of QLD
4562,QLD,Rest of QLD
4563,QLD,Rest of QLD
4564,QLD,Rest of QLD
4565,QLD,Rest of QLD
4566,QLD,Rest of QLD
4567,QLD,Rest of QLD
4568,QLD,Rest of QLD
4569,QLD,Rest of QLD
4570,QLD,Rest of QLD
4571,QLD,Rest of QLD
4572,QLD,Rest of QLD
4573,QLD,Rest of QLD
4574,QLD,Rest of QLD
4575,QLD,Rest of QLD
4580,QLD,Rest of QLD
4581,QLD,Rest of QLD
4600,QLD,Rest of QLD
4601,QLD,Rest of QLD
4605,QLD,Rest of QLD
4606,QLD,Rest of QLD
4608,QLD,Rest of QLD
4610,QLD,Rest of QLD
4611,QLD,Rest of QLD
4612,QLD,Rest of QLD
4613,QLD,Rest of QLD
4614,QLD,Rest of QLD
4615,QLD,Rest of QLD
4620,QLD,Rest of QLD
4621,QLD,Rest of QLD
4625,QLD,Rest of QLD
4626,QLD,Rest of QLD
4627,QLD,Rest of QLD
4630,QLD,Rest of QLD
4650,QLD,Rest of QLD
4655,QLD,Rest of QLD
4659,QLD,Rest of QLD
4660,QLD,Rest of QLD
4662,QLD,Rest of QLD
4670,QLD,Rest of QLD
4671,QLD,Rest of QLD
4673,QLD,Rest of QLD
4674,QLD,Rest of QLD
4676,QLD,Rest of QLD
4677,QLD,Rest of QLD
4678,QLD,Rest of QLD
4680,QLD,Rest of QLD
4694,QLD,Rest of QLD
4695,QLD,Rest of QLD
4697,QLD,Rest of QLD
4699,QLD,Rest of QLD
4700,QLD,Rest of QLD
4701,QLD,Rest of QLD
4702,QLD,Rest of QLD
4703,QLD,Rest of QLD
4704,QLD,Rest of QLD
4705,QLD,Rest of QLD
4706,QLD,Rest of QLD
4707,QLD,Rest of QLD
4709,QLD,Rest of QLD
4710,QLD,Rest of QLD
4711,QLD,Rest of QLD
4712,QLD,Rest of QLD
4713,QLD,Rest of QLD
4714,QLD,Rest of QLD
4715,QLD,Rest of QLD
4716,QLD,Rest of QLD
4717,QLD,Rest of QLD
4718,QLD,Rest of QLD
4719,QLD,Rest of QLD
4720,QLD,Rest of QLD
4721,QLD,Rest of QLD
4722,QLD,Rest of QLD
4723,QLD,Rest of QLD
4724,QLD,Rest of QLD
4725,QLD,Rest of QLD
4726,QLD,Rest of QLD
4727,QLD,Rest of QLD
4728,QLD,Rest of QLD
4730,QLD,Rest of QLD
4731,QLD,Rest of QLD
4732,QLD,Rest of QLD
4733,QLD,Rest of QLD
4735,QLD,Rest of QLD
4736,QLD,Rest of QLD
4737,QLD,Rest of QLD
4738,QLD,Rest of QLD
4739,QLD,Rest of QLD
4740,QLD,Rest of QLD
4741,QLD,Rest of QLD
4742,QLD,Rest of QLD
4743,QLD,Rest of QLD
4744,QLD,Rest of QLD
4745,QLD,Rest of QLD
4746,QLD,Rest of QLD
4750,QLD,Rest of QLD
4751,QLD,Rest of QLD
4753,QLD,Rest of QLD
4754,QLD,Rest of QLD
4756,QLD,Rest of QLD
4757,QLD,Rest of QLD
4798,QLD,Rest of QLD
4799,QLD,Rest of QLD
4800,QLD,Rest of QLD
4802,QLD,Rest of QLD
4804,QLD,Rest of QLD
4805,QLD,Rest of QLD
4806,QLD,Rest of QLD
4807,QLD,Rest of QLD
4808,QLD,Rest of QLD
4809,QLD,Rest of QLD
4810,QLD,Rest of QLD
4811,QLD,Rest of QLD
4812,QLD,Rest of QLD
4814,QLD,Rest of QLD
4815,QLD,Rest of QLD
4816,QLD,Rest of QLD
4817,QLD,Rest of QLD
4818,QLD,Rest of QLD
4819,QLD,Rest of QLD
4820,QLD,Rest of QLD
4821,QLD,Rest of QLD
4822,QLD,Rest of QLD
4823,QLD,Rest of QLD
4824,QLD,Rest of QLD
4825,NT,Rest of NT
4825,QLD,Rest of QLD
4828,QLD,Rest of QLD
4829,QLD,Rest of QLD
4830,QLD,Rest of QLD
4849,QLD,Rest of QLD
4850,QLD,Rest of QLD
4852,QLD,Rest of QLD
4854,QLD,Rest of QLD
4855,QLD,Rest of QLD
4856,QLD,Rest of QLD
4858,QLD,Rest of QLD
4859,QLD,Rest of QLD
4860,QLD,Rest of QLD
4861,QLD,Rest of QLD
4865,QLD,Rest of QLD
4868,QLD,Rest of QLD
4869,QLD,Rest of QLD
4870,QLD,Rest of QLD
4871,QLD,Rest of QLD
4872,QLD,Rest of QLD
4873,QLD,Rest of QLD
4874,QLD,Rest of QLD
4875,QLD,Rest of QLD
4876,QLD,Rest of QLD
4877,QLD,Rest of QLD
4878,QLD,Rest of QLD
4879,QLD,Rest of QLD
4880,QLD,Rest of QLD
4881,QLD,Rest of QLD
4882,QLD,Rest of QLD
4883,QLD,Rest of QLD
4884,QLD,Rest of QLD
4885,QLD,Rest of QLD
4886,QLD,Rest of QLD
4887,QLD,Rest of QLD
4888,QLD,Rest of QLD
4890,QLD,Rest of QLD
4891,QLD,Rest of QLD
4892,QLD,Rest of QLD
4895,QLD,Rest of QLD
5000,SA,Adelaide
5006,SA,Adelaide
5007,SA,Adelaide
5008,SA,Adelaide
5009,SA,Adelaide
5010,SA,Adelaide
5011,SA,Adelaide
5012,SA,Adelaide
5013,SA,Adelaide
5014,SA,Adelaide
5015,SA,Adelaide
5016,SA,Adelaide
5017,SA,Adelaide
5018,SA,Adelaide
5019,SA,Adelaide
5020,SA,Adelaide
5021,SA,Adelaide
5022,SA,Adelaide
5023,SA,Adelaide
5024,SA,Adelaide
5025,SA,Adelaide
5031,SA,Adelaide
5032,SA,Adelaide
5033,SA,Adelaide
5034,SA,Adelaide
5035,SA,Adelaide
5037,SA,Adelaide
5038,SA,Adelaide
5039,SA,Adelaide
5040,SA,Adelaide
5041,SA,Adelaide
5042,SA,Adelaide
5043,SA,Adelaide
5044,SA,Adelaide
5045,SA,Adelaide
5046,SA,Adelaide
5047,SA,Adelaide
5048,SA,Adelaide
5049,SA,Adelaide
5050,SA,Adelaide
5051,SA,Adelaide
5052,SA,Adelaide
5061,SA,Adelaide
5062,SA,Adelaide
5063,SA,Adelaide
5064,SA,Adelaide
5065,SA,Adelaide
5066,SA,Adelaide
5067,SA,Adelaide
5068,SA,Adelaide
5069,SA,Adelaide
5070,SA,Adelaide
5072,SA,Adelaide
5073,SA,Adelaide
5074,SA,Adelaide
5075,SA,Adelaide
5076,SA,Adelaide
5081,SA,Adelaide
5082,SA,Adelaide
5083,SA,Adelaide
5084,SA,Adelaide
5085,SA,Adelaide
5086,SA,Adelaide
5087,SA,Adelaide
5088,SA,Adelaide
5089,SA,Adelaide
5090,SA,Adelaide
5091,SA,Adelaide
5092,SA,Adelaide
5093,SA,Adelaide
5094,SA,Adelaide
5095,SA,Adelaide
5096,SA,Adelaide
5097,SA,Adelaide
5098,SA,Adelaide
5106,SA,Adelaide
5107,SA,Adelaide
5108,SA,Adelaide
5109,SA,Adelaide
5110,SA,Adelaide
5111,SA,Adelaide
5112,SA,Adelaide
5113,SA,Adelaide
5114,SA,Adelaide
5115,SA,Adelaide
5116,SA,Adelaide
5117,SA,Adelaide
5118,SA,Adelaide
5120,SA,Adelaide
5121,SA,Adelaide
5125,SA,Adelaide
5126,SA,Adelaide
5127,SA,Adelaide
5131,SA,Adelaide
5132,SA,Adelaide
5133,SA,Adelaide
5134,SA,Adelaide
5136,SA,Adelaide
5137,SA,Adelaide
5138,SA,Adelaide
5139,SA,Adelaide
5140,SA,Adelaide
5141,SA,Adelaide
5142,SA,Adelaide
5144,SA,Adelaide
5150,SA,Adelaide
5151,SA,Adelaide
5152,SA,Adelaide
5153,SA,Adelaide
5154,SA,Adelaide
5155,SA,Adelaide
5156,SA,Adelaide
5157,SA,Adelaide
5158,SA,Adelaide
5159,SA,Adelaide
5161,SA,Adelaide
5162,SA,Adelaide
5163,SA,Adelaide
5164,SA,Adelaide
5165,SA,Adelaide
5166,SA,Adelaide
5167,SA,Adelaide
5168,SA,Adelaide
5169,SA,Adelaide
5170,SA,Adelaide
5171,SA,Adelaide
5172,SA,Rest of SA
5173,SA,Adelaide
5174,SA,Adelaide
5201,SA,Rest of SA
5202,SA,Rest of SA
5203,SA,Rest of SA
5204,SA,Rest of SA
5210,SA,Rest of SA
5211,SA,Rest of SA
5212,SA,Rest of SA
5213,SA,Rest of SA
5214,SA,Rest of SA
5220,SA,Rest of SA
5221,SA,Rest of SA
5222,SA,Rest of SA
5223,SA,Rest of SA
5231,SA,Adelaide
5232,SA,Adelaide
5233,SA,Adelaide
5234,SA,Adelaide
5235,SA,Adelaide
5236,SA,Rest of SA
5237,SA,Rest of SA
5238,SA,Rest of SA
5240,SA,Adelaide
5241,SA,Adelaide
5242,SA,Adelaide
5243,SA,Adelaide
5244,SA,Adelaide
5245,SA,Adelaide
5250,SA,Adelaide
5251,SA,Adelaide
5252,SA,Adelaide
5253,SA,Rest of SA
5254,SA,Rest of SA
5255,SA,Rest of SA
5256,SA,Rest of SA
5259,SA,Rest of SA
5260,SA,Rest of SA
5261,SA,Rest of SA
5262,SA,Rest of SA
5263,SA,Rest of SA
5264,SA,Rest of SA
5265,SA,Rest of SA
5266,SA,Rest of SA
5267,SA,Rest of SA
5268,SA,Rest of SA
5269,SA,Rest of SA
5270,SA,Rest of SA
5271,SA,Rest of SA
5272,SA,Rest of SA
5273,SA,Rest of SA
5275,SA,Rest of SA
5276,SA,Rest of SA
5277,SA,Rest of SA
5278,SA,Rest of SA
5279,SA,Rest of SA
5280,SA,Rest of SA
5290,SA,Rest of SA
5291,SA,Rest of SA
5301,SA,Rest of SA
5302,SA,Rest of SA
5303,SA,Rest of SA
5304,SA,Rest of SA
5306,SA,Rest of SA
5307,SA,Rest of SA
5308,SA,Rest of SA
5309,SA,Rest of SA
5310,SA,Rest of SA
5311,SA,Rest of SA
5320,SA,Rest of SA
5321,SA,Rest of SA
5322,SA,Rest of SA
5330,SA,Rest of SA
5331,SA,Rest of SA
5332,SA,Rest of SA
